ER60001	ER60002	ER60017	ER60018	ER60167	ER62366	ER62506	ER64612	ER64810	ER65349	ER65459
1	5738	43	1	0	3	0	5	7	66954	13
1	5834	33	1	0	2	0	5	1	65000	12
1	3015	29	1	0	3	0	1	1	37000	12
1	3613	45	1	0	2	0	5	1	171200	16
1	4517	42	1	0	4	0	5	1	86949	16
1	3263	31	1	0	2	0	1	1	82500	11
1	4044	50	1	0	3	0	1	1	83402	17
1	7504	40	1	0	3	3	5	1	49000	10
1	3774	65	2	5	1	0	5	1	72035	14
1	3450	63	1	5	1	0	5	1	87700	16
1	5157	67	1	5	1	0	5	1	67017	17
1	3579	67	1	5	2	0	5	1	21600	17
1	6206	40	2	0	4	0	5	1	82004	17
1	8586	37	1	0	2	0	5	1	254010	16
1	4722	29	1	0	1	0	5	1	55500	16
1	2830	25	1	0	2	2	5	4	57500	16
1	3352	40	1	0	1	0	5	1	96053	16
1	1461	73	2	5	2	0	1	1	20940	14
1	3770	48	1	0	3	0	1	1	26900	12
1	2404	69	2	5	3	0	5	1	61550	16
1	565	86	2	5	2	0	5	1	29850	12
1	701	65	2	5	3	0	5	1	92450	14
1	475	61	1	0	1	0	5	1	135000	13
1	997	67	1	0	1	0	5	1	23056	15
1	3907	43	2	0	2	0	1	1	54060	16
1	6549	38	1	0	2	0	1	1	74000	16
1	5400	35	2	0	2	0	5	1	35000	14
1	2102	35	1	0	3	0	1	1	23200	16
1	7253	31	1	0	3	0	1	1	55100	14
1	5920	35	1	0	3	1	5	1	88506	17
1	1567	31	1	0	4	0	5	1	56680	12
1	1667	33	1	0	3	0	5	1	98000	16
1	4381	56	2	0	1	0	5	1	86647	14
1	7893	24	1	0	2	2	5	1	36500	11
1	5247	20	2	0	1	2	5	1	19200	14
1	6686	32	1	0	1	0	5	1	35000	10
1	7885	34	1	0	2	0	5	1	132525	13
1	2555	63	1	5	3	0	1	1	52499	14
1	5677	42	1	0	2	0	5	1	39149	16
1	2968	40	1	5	4	0	5	1	10600	13
1	2723	43	1	0	2	0	5	1	120930	14
1	2288	83	2	5	3	0	5	1	28585	12
1	8065	61	1	0	3	0	5	1	80000	12
1	8742	43	1	0	2	0	5	1	156100	17
1	4503	36	1	0	2	0	1	1	47003	17
1	7318	33	1	0	2	1	5	1	176080	17
1	4621	68	1	5	1	0	5	1	46600	16
1	2612	72	1	5	3	0	5	1	71294	16
1	2653	40	1	0	1	0	5	1	114010	17
1	4118	44	1	0	3	0	5	1	164000	12
1	7257	36	1	0	2	2	1	1	450500	17
1	2496	46	1	0	2	0	1	2	78788	17
1	8869	22	2	0	5	5	5	1	7300	16
1	8668	50	1	0	4	0	5	1	70808	14
1	4483	77	1	5	2	0	5	1	50253	15
1	5687	61	1	0	2	0	5	1	88705	17
1	1494	61	2	0	1	0	5	1	150025	17
1	2262	32	1	0	1	0	5	1	42250	14
1	6236	55	1	0	1	0	5	1	110000	12
1	6279	28	1	0	1	0	1	1	26101	14
1	3383	35	1	0	3	0	5	1	99300	16
1	7559	35	1	0	2	0	5	1	107004	16
1	8725	33	1	0	2	0	5	1	84724	11
1	5398	34	1	0	2	1	5	1	127300	16
1	2331	78	1	5	3	0	5	2	73919	14
1	4058	92	1	5	5	0	5	1	54152	16
1	3837	61	1	0	2	0	5	1	170550	16
1	397	56	1	0	3	0	5	1	114279	16
1	320	34	2	0	3	0	5	1	131653	16
1	204	56	1	0	3	0	5	1	702000	16
1	3626	51	2	0	3	0	5	1	88676	14
1	2466	59	1	0	3	0	5	1	240015	11
1	6233	62	2	0	3	0	5	1	68320	17
1	4207	35	1	1	2	0	5	1	150200	11
1	4037	35	1	0	1	0	5	1	195002	17
1	1324	72	1	5	3	0	5	7	59420	15
1	5010	45	1	0	2	0	5	1	274930	16
1	5592	44	1	0	2	0	5	1	116363	16
1	5926	17	2	5	3	3	1	1	53000	12
1	7762	61	1	5	3	0	5	1	95638	11
1	6203	40	1	0	2	0	5	1	355400	16
1	6382	91	2	5	3	0	5	1	67787	14
1	5992	36	1	0	1	0	5	1	63732	12
1	5947	33	2	5	1	0	5	1	23029	17
1	6861	32	1	5	3	0	5	1	23442	17
1	4127	64	1	0	1	0	5	1	72551	17
1	5209	29	2	0	2	0	5	1	10883	16
